index,content,NER,time
1,Not the first time the cameras been on the whole time,,2 năm trước
2,A DSP video WITHOUT 50 dislikes?,,7 năm trước
3,why'd I get reccommended this lol,,2 năm trước
4,i kinda wish it happened so he had to get a job,,3 năm trước
5,bugged youtube mechanics,,10 năm trước
6,Piracy is already illegal There is literally absolutely nothing beneficial about this bill It makes no sense whatsoever,,13 năm trước
7,Wait a minute there's killings crimes and wars in America but we're focusing on the online gaming??? wtf?,,12 năm trước
8,Is it me or does DSP look like Ethan Mars from Heavy Rain in this video a bit? lol,,11 năm trước
9,Instead of getting this country out of debt our Government is banning video games instead?,,13 năm trước
10,So basically this bill will take away the ability of Game Developers to freely advertise their games via the players Not only will this shut down businesses that revolve around streaming gameplay but will also probably cut down on sales of the video game itself I like many people don't go out and buy games until I see some gameplay in action,,12 năm trước
11,Why the heck these old videos keep showing up in my notifications?,,7 năm trước
12,Ahh man the good old days of dsp,,4 năm trước
13,I voted for politicians and now I regret it LMFAO,,1 năm trước
14,I still love the way he just walks in,,12 năm trước
15,I cant go on streams right now like if the same thing happened,,4 năm trước
16,when phil was awesome back then and now,,5 năm trước
17,A world without game reviews is a world I can't live in,,13 năm trước
18,I looked this up on Wikipedia and it said that the people who are pushing for this bill to be passed said that the bill will only target websites or people who profit from illegally streaming copyrighted material So videogame vids won't be affected,,13 năm trước
19,Wish this bill passed just to get DSP locked up,,1 năm trước
20,Dave i know right when Phil was famous,,5 năm trước
21,That's because he actually sounds relatively knowledgeable and polished here with less of his trademark negative behavioral qualities that define his normal video game playthroughs,,1 tháng trước
22,If he had actually acted like he does in this video as opposed to how he normally acts in most of his other videos maybe he wouldn't be as to the same degree that he is now,,1 tháng trước
23,Hey there 2 years ago you just now it got recommended to me as soon as I opened up youtube on the very first row for some reason Youtube works in mysterious ways,,4 năm trước
24,@AzKat6g hey there 11 months ago Just got recommended to me now,,3 năm trước
25,Egg Shen lol I bet you dont watch him anymore,,4 năm trước
26,Sure,,9 ngày trước
27,I did a little Research and found that 2 of the Politicians behind the bill statet that the bill does NOT affect the Gaming Vids Additionally it was said that only commercial streaming is issued So dont panic folks there is nearly no risk for the Gaming Vid scene,,13 năm trước
28,Thank you Dpsming I did not know this and thank you phill,,9 năm trước
29,GUYS CALM DOWN!!! The Legislative branch proposes silly bills like this all the time besides it's been months this bill will most likely be dismissed and it probably has already they just didn't bother to announce it just calm down we're fine thumbs up so others can see this,,12 năm trước
30,Wait what's so wrong about this video? Why are people whining in the comments?,,9 năm trước
31,i love you phil i follow you everywhere i love you huge fan don't worry about the hates there mother didn't love them Enough,,8 năm trước
32,How does this have so many views? Seems pretty obvious that Phil bought views,,9 năm trước
33,Everyone that doesn't support this bill best idea is to contact Congress and tell them that if this bill gets passed everyone in office who supported it will get voted out! No exceptions!,,12 năm trước
34,I am now really ticked off Why the hell does this video have 23000 likes yet good YouTubers like Chuggaaconroy never got that many likes on a video before? People are idiots,,9 năm trước
35,aww is baby going to have to get a real job awww,,10 năm trước
36,Seriously why does the government focus on less important stuff like the internet instead of other issues? This is America not North Korea If this bill passes EVERYONE BREAK THE LAW!!!,,12 năm trước
37,And it has gotten worse The Senate version of the bill does not criminalise the viewing of videos but some analysis of the House version of the bill just made public would criminalise viewing The House version is so bad that even private streaming just your yourself would be a felony under the house version,,12 năm trước
38,I agree we should definitely stop this If it passes we must all write letters and emails asking for permission and fill their offices and servers until they get rid of it,,12 năm trước
39,If this bill is passed the government has the power to charge you with copyright infringement regardless of the copyright holders take on the situation,,12 năm trước
40,Go and sign the petition it will take you 2 minutes and will help us all A LOT,,13 năm trước
41,It's alright America we TOTALLY understand that ONLINE GAMING is FAR more important that putting REAL criminals in prison,,12 năm trước
42,Putting anyone in prison for just this reason would be entirely counterproductive to society I don't want to have to pay more taxes to enforce this law Well this gives us an initiative to vote out any congress member that says yes to this bill Go to opencongress org and look up this bill Look at the money trail tab Look at the sheer amount of corporations that support Sgt8 I wonder why They had better kill this bill,,13 năm trước
43,one thing I'm wondering what if its just people from different countries uploading gameplay footage? our government wouldn't have any control over that would they?,,13 năm trước
44,Why isnt Youtube concerned about this? No gameplay no music videos no movie trailers YT would be dead,,12 năm trước
45,Breakdown of bill First line of Sgt8 a Amendments to Section 2319 of Title 18 Section 2319 of title 18 United States Code is amended Opening line of 2319 b b Any person who commits an offense under section 506 alA of title 17 506 alA 1 In general Any person who willfully infringes a copyright shall be punished as provided under section 2319 of title 18 if the infringement was committed A for purposes of commercial advantage or private financial gain,,12 năm trước
46,V Onii Chwan DPS Has a massive following of people who for whatever reason hate him and want nothing more than to see him disappear from the internet as a whole,,8 năm trước
47,because he treats people like shit and has never once apologized for his actions and words,,8 năm trước
48,TheRealSSBB6a And in recent years I don't blame him people are constantly out to ruin this guys life To say its fair because he told some kid on the internet to fuck off is justifiable its not You don't have to like Phil but at least show the guy a little empathy I mean for crying out loud its the internet man A lot of people say and do whatever they want he wants to be an asshole to people its his right He is the King of Hate after all or at least that is a moniker he goes by or use to I'm sure Phil isn't that bad of a guy he has his flaws but who doesn't,,8 năm trước
49,MrFuddyDuddy some of the haters would make a deal with isis if they promised to get rid of phill,,8 năm trước
50,more like just too many whinners LOL,,6 năm trước
51,xD ppl like u Darth Jawa,,5 năm trước
52,Guarantee you don't watch him anymore,,2 năm trước
53,Dunkey LongLostSon And what do you consider a real man's game Mr Dunkey?,,9 năm trước
54,FireNinja6o6 Ghouls'n Ghosts now THAT is a real man's game fuck that Demon's Souls,,9 năm trước
55,FireNinja6o6 And don't call me Mr Dunkey that's my father's name please,,9 năm trước
56,Dunkey LongLostSon Okay maybe you do have some taste in gaming since you don't seem to be a fan of modern firstperson shooters But how does Chuggaaconroy suck? Just because he plays Nintendo games?,,9 năm trước
57,FireNinja6o6 I don't even know the dude xD I was just fucking with you,,9 năm trước
