index,content,time
1,Not the first time the cameras been on the whole time,2 年前
2,A DSP video WITHOUT dislikes?,7 年前
3,why'd I get reccommended this lol,2 年前
4,i kinda wish it happened so he had to get a job,3 年前
5,bugged mechanics,10 年前
6,Is it me or does SP look like from in this video a bit? lol,11 年前
7,I cant go on streams right now like if the same thing happened,4 年前
8,I do n't care if it passes I will still continue to post gameplay videos It's my right as an and I do n't care what bill passes I already have a bill it's called the,12 年前
9,So what are you in for? I stole a car so what did you do? I uploaded a match of,13 年前
10,I still love the way he just walks in,12 年前
11,Ahh man the good old days of dsp,4 年前
12,Why the heck these old videos keep showing up in my notifications?,7 年前
13,I voted for politicians and now I regret it LMFAO,1 年前
14,when was awesome back then and now,5 年前
15,Wish this bill passed just to get DSP locked up,1 年前
16,This was back when cast's classic video gameetc channel was still in operation And I used to watch Hafter trips with my late mom I was watching PBSfanatic's before trips I also got into and as well as the end of AND by then Plus I watched a lot of spoofs and insurance ads,1 年前
17,A world without game reviews is a world I can't live in,13 年前
18,I did a little Research and found that 2 of the Politicians behind the bill statet that the bill does NOT affect the Gaming Vids Additionally it was said that only commercial streaming is issued So dont panic folks there is nearly no risk for the Gaming Vid scene,13 年前
19,i know right when was famous,5 年前
20,That's because he actually sounds relatively knowledgeable and polished here with less of his trademark negative behavioral qualities that define his normal video game playthroughs,2 か月前
21,If he had actually acted like he does in this video as opposed to how he normally acts in most of his other videos maybe he wouldn't be as to the same degree that he is now,2 か月前
22,Hey there 2 years ago you just now it got recommended to me as soon as I opened up on the very first row for some reason works in mysterious ways,4 年前
23,Az6g hey there 11 months ago Just got recommended to me now,3 年前
24,Egg en lol I bet you dont watch him anymore,4 年前
25,Sure,3 週間前
26,Thank you Dpsming I did not know this and thank you phill,9 年前
27,I looked this up on and it said that the people who are pushing for this bill to be passed said that the bill will only target websites or people who profit from illegally streaming copyrighted material So videogame vids wo n't be affected,13 年前
28,Wait what's so wrong about this video? Why are people whining in the comments?,9 年前
29,i love you i follow you everywhere i love you huge fan do n't worry about the hates there mother did n't love them Enough,8 年前
30,I am now really ticked off Why the hell does this video have 23000 likes yet good YouTubers like aconnever got that many likes on a video before? People are idiots,9 年前
31,I thought inima had the permission of the video game companies already,13 年前
32,How does this have so many views? Seems pretty obvious that bought views,9 年前
33,aww is baby going to have to get a real job awww,10 年前
34,Guy in 5 i videotaped a youtube video of a guy playing a videogame,13 年前
35,one thing I'm wondering what if its just people from different countries uploading gameplay footage? our government wouldn't have any control over that would they?,13 年前
36,And it has gotten worse The version of the bill does not criminalise the viewing of videos but some analysis of the version of the bill just made public would criminalise viewing The version is so bad that even private streaming just your yourself would be a felony under the house version,12 年前
37,bzol What I am asking is that Is creating video for a copyghted software playing a game or a tutorial for using considered public performance of a copyghted material? I am asking if video tutorials falls into this category as well,12 年前
38,GUYS CALM DOWN!!! The proposes silly bills like this all the time besides it's been months this bill will most likely be dismissed and it probably has already they just did n't bother to announce it just calm down we're fine thumbs up so others can see this,12 年前
39,Why isnt concerned about this? No gameplay no music videos no movie trailers would be dead,12 年前
40,Seriously why does the government focus on less important stuff like the internet instead of other issues? This is not If this bill passes EVERYONE BREAK THE LAW!!!,12 年前
41,I'm pretty sure there are things more important than this going on in the world that the needs to worry about,12 年前
42,If this bill is passed the has the power to charge you with copyright infringement regardless of the copyright holders take on the situation,12 年前
43,I agree we should definitely stop this If it passes we must all write letters and emails asking for permission and fill their offices and servers until they get rid of it,12 年前
44,Everyone that doesn't support this bill best idea is to contact and tell them that if this bill gets passed everyone in office who supported it will get voted out! No exceptions!,12 年前
45,I started freaking outthen i noticed this was 2 years old lol,11 年前
46,i wan Has a massive following of people who for whatever reason hate him and want nothing more than to see him disappear from the internet as a whole,8 年前
